id,title,value,description,icon,data_source,is_real_time,sort_order,is_active,created_at,updated_at
71ea8635-7bde-43bb-9a27-2e4e4a8d96e2,Years in Business,5+,,,manual,f,0,t,2026-01-22 23:32:39.152141+00,2026-01-22 23:32:39.152141+00
20777c1d-eb79-4468-8706-00e330b21558,Rocks Sold,250+,,,manual,f,1,t,2026-01-22 23:32:55.936348+00,2026-01-22 23:32:55.936348+00
1f4dd059-6ad0-4ed7-8af0-9b4c40b31cc4,5 Star Reviews,175+,,,manual,f,2,t,2026-01-22 23:33:18.702939+00,2026-01-22 23:33:18.702939+00
a895b231-392a-48be-b172-dd4530f16e5a,Countries Served,12+,,,manual,f,3,t,2026-01-22 23:33:31.742818+00,2026-01-22 23:33:31.742818+00
b8c61696-f6bf-427a-9c0b-680e352693ea,Error Free Orders,200+,,,manual,f,4,t,2026-01-22 23:33:55.057183+00,2026-01-22 23:33:55.057183+00
